id	sampleA	sampleB	baseMeanA	baseMeanB	log2FC	pval	padj	sig
1	AT1G01010.Araport11.447	Control	Drought	35.4621547834501	42.2937667013865	-0.268246475698147	0.501971871054406	0.999995388180007	notDE
2	AT1G01020.Araport11.447	Control	Drought	225.322702170106	271.914295901014	-0.285077059525451	0.224190637523721	0.999995388180007	notDE
3	AT1G01030.Araport11.447	Control	Drought	111.986406888751	98.7940705781184	0.177712527293769	0.545055560012691	0.999995388180007	notDE
4	AT1G01040.Araport11.447	Control	Drought	580.311098981204	557.61941034518	0.0632659767314369	0.773317888288648	0.999995388180007	notDE
5	AT1G01050.Araport11.447	Control	Drought	344.134028360859	345.236924748882	-0.0118146478369773	0.953470609825458	0.999995388180007	notDE
6	AT1G01060.Araport11.447	Control	Drought	275.516910348986	234.286048393362	0.239581394964303	0.310027076005317	0.999995388180007	notDE
7	AT1G01080.Araport11.447	Control	Drought	791.327831643584	776.626450595995	0.0239484420402458	0.898597413704929	0.999995388180007	notDE
8	AT1G01090.Araport11.447	Control	Drought	1936.57035161759	1592.47248186127	0.28395895571945	0.115288537720349	0.999995388180007	notDE
9	AT1G01100.Araport11.447	Control	Drought	6810.58496934022	6959.52202317723	-0.0319200053597437	0.887550653205643	0.999995388180007	notDE
10	AT1G01110.Araport11.447	Control	Drought	46.3645555342311	50.9858371078314	-0.120777348528169	0.751946723949637	0.999995388180007	notDE
11	AT1G01120.Araport11.447	Control	Drought	218.205845260279	229.835023393068	-0.0679860772707419	0.777751976025905	0.999995388180007	notDE
12	AT1G01130.Araport11.447	Control	Drought	38.2566923736665	24.8025158133795	0.612026123375689	0.159281396823791	0.999995388180007	notDE
13	AT1G01140.Araport11.447	Control	Drought	301.890893133209	272.754762363997	0.144421380766854	0.468203751146741	0.999995388180007	notDE
14	AT1G01150.Araport11.447	Control	Drought	8.62597897833025	8.27607773104529	0.0164450852861382	0.983633741509005	0.999995388180007	notDE
15	AT1G01160.Araport11.447	Control	Drought	527.487840091327	603.317722502621	-0.200659611883585	0.322682359925821	0.999995388180007	notDE
16	AT1G01170.Araport11.447	Control	Drought	579.922496577827	657.498125472364	-0.18870810728643	0.422123299816512	0.999995388180007	notDE
17	AT1G01180.Araport11.447	Control	Drought	12.4330423842972	11.8823957122646	0.0661992322278418	0.920356823355768	0.999995388180007	notDE
18	AT1G01190.Araport11.447	Control	Drought	2.77483160568651	10.6216960177906	-1.96436624586894	0.0525906288890078	0.999995388180007	DE
19	AT1G01200.Araport11.447	Control	Drought	6.35206314655996	6.81812011070372	-0.0702689292828059	0.94008184678093	0.999995388180007	notDE
20	AT1G01210.Araport11.447	Control	Drought	266.091980867198	305.661815362311	-0.213957327866089	0.392825607233304	0.999995388180007	notDE
21	AT1G01220.Araport11.447	Control	Drought	261.6545974471	247.008910568609	0.0865987852247919	0.683469367165667	0.999995388180007	notDE
22	AT1G01225.Araport11.447	Control	Drought	44.8230543260905	43.2071447475466	0.0408730864576791	0.912333942432574	0.999995388180007	notDE
23	AT1G01230.Araport11.447	Control	Drought	121.109613708315	104.252862031414	0.203818037588372	0.475368062809758	0.999995388180007	notDE
24	AT1G01240.Araport11.447	Control	Drought	75.5476389826635	89.0557946706397	-0.217873131054784	0.471136413741087	0.999995388180007	notDE
25	AT1G01250.Araport11.447	Control	Drought	1.53966113347111	3.40906005535186	-1.09381222011313	0.480088387651675	0.999995388180007	notDE
26	AT1G01260.Araport11.447	Control	Drought	215.121841725389	192.738359748116	0.163486250040467	0.455207414750036	0.999995388180007	notDE
27	AT1G01290.Araport11.447	Control	Drought	179.460417491842	210.452585941747	-0.240768837991276	0.321795016150097	0.999995388180007	notDE
28	AT1G01300.Araport11.447	Control	Drought	1311.32857254929	1099.4968997122	0.255403175906627	0.12979053718064	0.999995388180007	notDE
29	AT1G01310.Araport11.447	Control	Drought	6.37110326507891	7.95447346248767	-0.424753535037997	0.639090142948056	0.999995388180007	notDE
30	AT1G01320.Araport11.447	Control	Drought	4282.42619046756	4274.41727792346	0.00360033770548206	0.986025056684762	0.999995388180007	notDE
31	AT1G01340.Araport11.447	Control	Drought	16.4191577690256	13.5376112584737	0.253616371005495	0.676844838630011	0.999995388180007	notDE
32	AT1G01350.Araport11.447	Control	Drought	189.894793095149	180.242713434585	0.0626468971193774	0.801694915092035	0.999995388180007	notDE
33	AT1G01360.Araport11.447	Control	Drought	37.6298373579516	40.835809081045	-0.138451988794771	0.726701330043209	0.999995388180007	notDE
34	AT1G01370.Araport11.447	Control	Drought	289.901134680465	324.709652833593	-0.172050662705385	0.412359392527042	0.999995388180007	notDE
35	AT1G01380.Araport11.447	Control	Drought	39.666741899343	34.4122048220762	0.18166351052281	0.661626648547202	0.999995388180007	notDE
36	AT1G01420.Araport11.447	Control	Drought	2.15098308995658	2.9888268238605	-0.408892039808872	0.775443096182835	0.999995388180007	notDE
